"","x"
"327","HMGB3"
"328","HMGB4"
"329","HNF1A"
"330","HNF1B"
"331","HNF4A"
"332","HNF4G"
"333","HOXA1"
"334","HOXA10"
"335","HOXA11"
"336","HOXA13"
"337","HOXA2"
"338","HOXA3"
"339","HOXA4"
"340","HOXA5"
"341","HOXA6"
"342","HOXA7"
"343","HOXA9"
"344","HOXB1"
"345","HOXB13"
"346","HOXB2"
"347","HOXB3"
"348","HOXB4"
"349","HOXB5"
"350","HOXB6"
"351","HOXB7"
"352","HOXB8"
"353","HOXB9"
"354","HOXC10"
"355","HOXC11"
"356","HOXC12"
"357","HOXC13"
"358","HOXC4"
"359","HOXC5"
"360","HOXC6"
"361","HOXC8"
"362","HOXC9"
"363","HOXD1"
"364","HOXD10"
"365","HOXD11"
"366","HOXD12"
"367","HOXD13"
"368","HOXD3"
"369","HOXD4"
"370","HOXD8"
"371","HOXD9"
"372","ID1"
"373","ID2"
"374","ID4"
"375","KIF22"
"376","LEF1"
"377","MYOD1"
"378","NCOR1"
"379","NCOR2"
"380","NEUROD1"
"381","NEUROD2"
"382","NR2F2"
"383","PAX1"
"384","PAX2"
"385","PAX3"
"386","PAX4"
"387","PAX5"
"388","PAX6"
"389","PAX7"
"390","PAX8"
"391","PAX9"
"392","PAXIP1"
"393","PPARA"
"394","PPARD"
"395","PPARG"
"396","PPARGC1A"
"397","RARA"
"398","RARB"
"399","RARG"
"400","RORA"
"401","RORB"
"402","RORC"
"403","RUNX1"
"404","RUNX2"
"405","RUNX3"
"406","RXRA"
"407","RXRG"
"408","SMAD1"
"409","SMAD3"
"410","SMAD4"
"411","SMAD5"
"412","SMAD6"
"413","SMAD7"
"414","SMAD9"
"415","SOX1"
"416","SOX10"
"417","SOX11"
"418","SOX12"
"419","SOX13"
"420","SOX14"
"421","SOX15"
"422","SOX17"
"423","SOX18"
"424","SOX2"
"425","SOX21"
"426","SOX3"
"427","SOX30"
"428","SOX4"
"429","SOX5"
"430","SOX6"
"431","SOX7"
"432","SOX8"
"433","SOX9"
"434","SPATS2"
"435","SPIB"
"436","SPIC"
"437","TAL1"
"438","TAL2"
"439","TBR1"
"440","TBX1"
"441","TBX10"
"442","TBX15"
"443","TBX18"
"444","TBX19"
"445","TBX2"
"446","TBX20"
"447","TBX21"
"448","TBX22"
"449","TBX3"
"450","TBX4"
"451","TBX5"
"452","TBX6"
"453","TCF12"
"454","TCF15"
"455","TCF21"
"456","TCF23"
"457","TCF24"
"458","TCF3"
"459","TCF4"
"460","TCF7"
"461","TCF7L1"
"462","TCF7L2"
"463","TCFL5"
"464","FLII"
"465","GATAD2A"
"466","ID3"
"467","NEUROD4"
"468","NEUROD6"
"469","PAXBP1"
"470","TBXAS1"
"471","TBXT"
