"","x"
"326","CEMIP2"
"327","CENPF"
"328","CER1"
"329","CETP"
"330","CFAP410"
"331","CFLAR"
"332","CGA"
"333","CGAS"
"334","CHAD"
"335","CHADL"
"336","CHD7"
"337","CHI3L1"
"338","CHN1"
"339","CHODL"
"340","CHRD"
"341","CHRNA3"
"342","CHRNA7"
"343","CHRNB2"
"344","CITED1"
"345","CITED2"
"346","CLASP1"
"347","CLASP2"
"348","CLCF1"
"349","CLDN18"
"350","CLDN3"
"351","CLDN4"
"352","CLDN5"
"353","CLEC7A"
"354","CLIC1"
"355","CLOCK"
"356","CLSTN1"
"357","CLSTN2"
"358","CLSTN3"
"359","CLTC"
"360","CMA1"
"361","CMKLR1"
"362","CMTM5"
"363","CNMD"
"364","CNOT1"
"365","CNOT2"
"366","CNOT3"
"367","CNOT4"
"368","CNTF"
"369","CNTN2"
"370","CNTN4"
"371","COBL"
"372","COCH"
"373","COL1A1"
"374","COL4A2"
"375","COL4A3"
"376","COL5A1"
"377","COL5A2"
"378","COLQ"
"379","COMP"
"380","CORO1A"
"381","CORO1B"
"382","CORO1C"
"383","CPEB3"
"384","CPNE1"
"385","CPNE5"
"386","CPNE6"
"387","CPNE9"
"388","CR1"
"389","CRABP2"
"390","CRB2"
"391","CREB1"
"392","CREB3L1"
"393","CREBL2"
"394","CRIM1"
"395","CRP"
"396","CRTAM"
"397","CRTC1"
"398","CSF1"
"399","CSF1R"
"400","CSF2"
"401","CSF3"
"402","CSF3R"
"403","CSMD3"
"404","CSNK1E"
"405","CSPG5"
"406","CST7"
"407","CTDP1"
"408","CTH"
"409","CTHRC1"
"410","CTLA4"
"411","CTNNA1"
"412","CTNNA2"
"413","CTNNBIP1"
"414","CTR9"
"415","CTSC"
"416","CTSH"
"417","CTSK"
"418","CTSL"
"419","CTSV"
"420","CTTN"
"421","CUL4A"
"422","CUL7"
"423","CUX1"
"424","CUX2"
"425","CX3CL1"
"426","CX3CR1"
"427","CXCL10"
"428","CXCL12"
"429","CXCL13"
"430","CXCL8"
"431","CXCL9"
"432","CXCR2"
"433","CXCR4"
"434","CYB5D2"
"435","CYBB"
"436","CYFIP1"
"437","CYP1B1"
"438","CYP26B1"
"439","CYP27B1"
"440","CYRIB"
"441","DAAM1"
"442","DAAM2"
"443","DAB1"
"444","DAB2"
"445","DAB2IP"
"446","DACT1"
"447","DACT3"
"448","DAND5"
"449","DBN1"
"450","DBNL"
"451","DCANP1"
"452","DCC"
"453","DCN"
"454","DCSTAMP"
"455","DCT"
"456","DDAH1"
"457","DDHD1"
"458","DDHD2"
"459","DDIT3"
"460","DDR2"
"461","DDX39B"
"462","DDX5"
"463","DDX6"
"464","DGKG"
"465","DHODH"
"466","DHX36"
"467","DHX37"
"468","DIAPH1"
"469","DICER1"
"470","DIEXF"
"471","DIO3"
"472","DIP2B"
"473","DISC1"
"474","DISP3"
"475","DIXDC1"
"476","DKK1"
"477","DKK4"
"478","DKKL1"
"479","DLC1"
"480","DLG1"
"481","DLG4"
"482","DLG5"
"483","DLK2"
"484","DLL1"
"485","DLL3"
"486","DLL4"
"487","DLX1"
"488","DLX2"
"489","DMP1"
"490","DMPK"
"491","DMRT1"
"492","DMRT2"
"493","DMRT3"
"494","DMRTA2"
"495","DMTN"
"496","DNAI3"
"497","DNM1L"
"498","DNM2"
"499","DNM3"
"500","DNMBP"
"501","DNMT1"
"502","DNMT3B"
"503","DOCK1"
"504","DOCK5"
"505","DOCK7"
"506","DPF2"
"507","DPYSL2"
