"","x"
"320","ASXL2"
"321","ASXL3"
"322","ASZ1"
"323","ATAT1"
"324","ATCAY"
"325","ATF2"
"326","ATF3"
"327","ATF5"
"328","ATG5"
"329","ATIC"
"330","ATL1"
"331","ATM"
"332","ATOH1"
"333","ATOH7"
"334","ATOH8"
"335","ATP11A"
"336","ATP1A2"
"337","ATP1B2"
"338","ATP2B1"
"339","ATP2B2"
"340","ATP2B4"
"341","ATP2C2"
"342","ATP5F1B"
"343","ATP5PB"
"344","ATP6V1B1"
"345","ATP7A"
"346","ATP8A2"
"347","ATP8B1"
"348","ATR"
"349","ATRNL1"
"350","ATRX"
"351","ATXN1"
"352","ATXN10"
"353","ATXN1L"
"354","ATXN3"
"355","AURKA"
"356","AURKB"
"357","AUTS2"
"358","AVIL"
"359","AVPR1A"
"360","AVPR2"
"361","AXIN1"
"362","AXIN2"
"363","AXL"
"364","AZI2"
"365","AZU1"
"366","B2M"
"367","B3GNT2"
"368","B3GNT5"
"369","B4GALT1"
"370","B4GALT2"
"371","B4GALT6"
"372","B9D1"
"373","BAAT"
"374","BACE2"
"375","BAG3"
"376","BAIAP2"
"377","BAK1"
"378","BANP"
"379","BARHL1"
"380","BARHL2"
"381","BARX1"
"382","BARX2"
"383","BASP1"
"384","BATF"
"385","BATF2"
"386","BATF3"
"387","BAX"
"388","BBS2"
"389","BBS4"
"390","BBS5"
"391","BBS7"
"392","BBX"
"393","BCAN"
"394","BCAR3"
"395","BCAS1"
"396","BCAS3"
"397","BCHE"
"398","BCL10"
"399","BCL11B"
"400","BCL2"
"401","BCL2A1"
"402","BCL2L1"
"403","BCL2L11"
"404","BCL3"
"405","BCL6"
"406","BCL9"
"407","BCOR"
"408","BCR"
"409","BDNF"
"410","BECN1"
"411","BEND6"
"412","BEX1"
"413","BEX3"
"414","BFSP1"
"415","BFSP2"
"416","BGLAP"
"417","BGN"
"418","BHLHA15"
"419","BHLHA9"
"420","BHLHB9"
"421","BHLHE22"
"422","BHLHE23"
"423","BHLHE40"
"424","BHLHE41"
"425","BICC1"
"426","BICDL1"
"427","BID"
"428","BIK"
"429","BIN1"
"430","BIN3"
"431","BIRC2"
"432","BIRC6"
"433","BIRC7"
"434","BLK"
"435","BLNK"
"436","BLOC1S1"
"437","BLOC1S3"
"438","BLOC1S5"
"439","BLOC1S6"
"440","BMERB1"
"441","BMP1"
"442","BMP10"
"443","BMP15"
"444","BMP2"
"445","BMP2K"
"446","BMP3"
"447","BMP4"
"448","BMP5"
"449","BMP6"
"450","BMP7"
"451","BMP8A"
"452","BMP8B"
"453","BMPER"
"454","BMPR1A"
"455","BMPR1B"
"456","BMPR2"
"457","BNC2"
"458","BNIP3"
"459","BOC"
"460","BOK"
"461","BOLL"
"462","BORCS8"
"463","BPNT1"
"464","BPNT2"
"465","BPTF"
"466","BRAF"
"467","BRCA1"
"468","BRCA2"
"469","BRD1"
"470","BRD2"
"471","BRINP1"
"472","BRINP3"
"473","BRIP1"
"474","BRME1"
"475","BRSK1"
"476","BRSK2"
"477","BSN"
"478","BSX"
"479","BTBD3"
"480","BTBD7"
"481","BTD"
"482","BTG2"
"483","BTG4"
"484","BTK"
"485","BTRC"
"486","BVES"
"487","BYSL"
"488","BZW2"
"489","C12orf29"
"490","C17orf99"
"491","C1GALT1"
"492","C1orf127"
"493","C1QA"
"494","C1QC"
"495","C1QL1"
"496","C2CD3"
"497","C2orf49"
"498","C3"
"499","C3AR1"
"500","C3orf70"
"501","C5"
"502","C5AR1"
"503","C6"
"504","C6orf141"
"505","C8orf37"
"506","C9orf116"
"507","C9orf72"
"508","CA10"
"509","CA2"
"510","CABP4"
"511","CACNA1C"
"512","CACNA1G"
"513","CACNA1H"
"514","CACYBP"
"515","CAD"
"516","CADM1"
"517","CALB1"
"518","CALCA"
"519","CALCRL"
"520","CALD1"
"521","CALM2"
"522","CAMK1"
"523","CAMK1D"
"524","CAMK2A"
"525","CAMK2B"
"526","CAMK2G"
"527","CAMK4"
"528","CAMP"
"529","CAMSAP1"
"530","CAMSAP2"
"531","CAMSAP3"
"532","CAPG"
"533","CAPN1"
"534","CAPN2"
"535","CAPN3"
"536","CAPRIN1"
"537","CAPRIN2"
"538","CARD11"
"539","CARTPT"
"540","CASP14"
"541","CASP2"
"542","CASP3"
"543","CASP5"
"544","CASP7"
"545","CASP8"
"546","CASP9"
"547","CASQ1"
"548","CASR"
"549","CASZ1"
"550","CAT"
"551","CATSPER1"
"552","CATSPER2"
"553","CATSPER3"
"554","CATSPER4"
"555","CATSPERB"
"556","CATSPERD"
"557","CATSPERG"
"558","CAV1"
"559","CAV2"
"560","CAV3"
"561","CAVIN4"
"562","CBFA2T2"
"563","CBFA2T3"
"564","CBFB"
"565","CBL"
"566","CBLL1"
"567","CBLN1"
"568","CBLN2"
"569","CBLN4"
"570","CBX2"
"571","CC2D2A"
"572","CCBE1"
"573","CCDC103"
"574","CCDC120"
"575","CCDC134"
"576","CCDC14"
"577","CCDC141"
"578","CCDC154"
"579","CCDC182"
"580","CCDC24"
"581","CCDC39"
"582","CCDC40"
"583","CCDC62"
"584","CCDC85C"
"585","CCDC88A"
"586","CCHCR1"
"587","CCIN"
"588","CCK"
"589","CCKAR"
"590","CCKBR"
"591","CCL11"
"592","CCL17"
"593","CCL19"
"594","CCL2"
"595","CCL24"
"596","CCL3"
"597","CCM2"
"598","CCN1"
"599","CCN2"
"600","CCN3"
"601","CCN4"
"602","CCN6"
"603","CCNA2"
"604","CCNB1"
"605","CCNB1IP1"
"606","CCNB2"
"607","CCND1"
"608","CCNF"
"609","CCNT2"
"610","CCR1"
"611","CCR2"
"612","CCR3"
"613","CCR4"
"614","CCR6"
"615","CCR7"
"616","CCR9"
"617","CCSAP"
"618","CD109"
"619","CD160"
"620","CD164"
"621","CD19"
"622","CD1D"
"623","CD2"
"624","CD24"
"625","CD248"
"626","CD27"
"627","CD28"
"628","CD34"
"629","CD3D"
"630","CD3E"
"631","CD3G"
"632","CD4"
"633","CD40"
"634","CD40LG"
"635","CD44"
"636","CD46"
"637","CD74"
"638","CD79A"
"639","CD79B"
"640","CD80"
"641","CD83"
"642","CD86"
"643","CD8A"
"644","CD9"
"645","CDC20"
"646","CDC73"
"647","CDH1"
"648","CDH10"
"649","CDH11"
"650","CDH12"
"651","CDH13"
"652","CDH17"
"653","CDH18"
"654","CDH19"
"655","CDH2"
"656","CDH20"
"657","CDH22"
"658","CDH23"
"659","CDH24"
"660","CDH3"
"661","CDH4"
"662","CDH5"
